race,team,athlete,birthday
2083,USA,"HOCHMAN Lindsey",1984-06-02
2083,USA,"ROBINSON Katherine",1987-06-04
2083,USA,"SAEGER Hillary",1984-09-25
2084,CHN,"LIU Jing",1987-12-11
2084,CHN,"PAN Dandan",1996-01-01
2084,CHN,"TANG Chanjuan",1995-01-19
2084,CHN,"YAN Xiaohua",1993-07-26
2085,IND,"CHANGAMAYUM Priya",1992-08-15
2085,IND,"DITTYMOL Varghese",1991-11-20
2085,IND,"KHUMANTHEN Monalisha",1992-11-05
2085,IND,"KURIAN Thara",1992-01-09
2086,IRI,"BARZEGER TAMRIN Homeira",1991-05-01
2086,IRI,"FARAG POUR Shadi",1991-02-21
2086,IRI,"MALAEI Nazanin",1992-01-28
2086,IRI,"SHADMEHR Mona",1992-02-15
2087,FRA,"CULTY Charlotte",1989-09-22
2087,FRA,"JUNG Rachel",1990-11-13
2087,FRA,"POUMAILLOUX Chloe",1992-05-23
2087,FRA,"PROCHASSON Sara",1989-06-20
2088,ITA,"BELLO Erika",1975-11-30
2088,ITA,"COLETTI Elena",1993-06-22
2088,ITA,"NOSEDA Sabrina",1989-04-29
2088,ITA,"POLLINI Giulia",1988-03-08
2089,AUS,"FLECKER Ella",1988-12-29
2089,AUS,"HAYES Alexandra",1988-04-28
2089,AUS,"JANSEN Hannah",1991-12-18
2089,AUS,"SIMMONDS Maia",1986-06-08
209,CAN,"BERGEN Gabriel",1982-07-06
209,CAN,"BERKHOUT Fraser",1985-08-22
209,CAN,"LIGHT Kevin",1979-05-16
209,CAN,"VANKNOTSENBURG Steven",1982-02-21
2090,GER,"BURMEISTER Sina",1988-11-18
2090,GER,"MACK Claudia",1986-01-08
2090,GER,"PLESS Leonie",1988-12-31
2090,GER,"RUEGNER Katja",1987-03-22
2091,ARG,"ESTERAS Sofia",1988-07-15
2091,ARG,"LINCE VAIERETTI Deborah",1984-10-24
2091,ARG,"ROHNER Maria Clara",1985-04-01
2091,ARG,"SCHIFFMACHER Carolina",1987-12-06
2092,USA,"DINION Nicole",1987-08-10
2092,USA,"HOCHMAN Lindsey",1984-06-02
2092,USA,"ROBINSON Katherine",1987-06-04
2092,USA,"SAEGER Hillary",1984-09-25
2093,IND,"CHANGAMAYUM Priya",1992-08-15
2093,IND,"DITTYMOL Varghese",1991-11-20
2093,IND,"KHUMANTHEN Monalisha",1992-11-05
2093,IND,"KURIAN Thara",1992-01-09
2094,DEN,"CHRISTENSEN Sarah",1989-03-28
2094,DEN,"ESPERSEN Mia",1985-02-04
2094,DEN,"JUERGENSEN Sarah",1988-02-21
2094,DEN,"PULTZ Christina",1988-06-26
2095,CHN,"LIU Jing",1987-12-11
2095,CHN,"PAN Dandan",1996-01-01
2095,CHN,"TANG Chanjuan",1995-01-19
2095,CHN,"YAN Xiaohua",1993-07-26
2096,THA,"JARDSAKUL Patchareeya",1990-12-27
2096,THA,"NIKREE Phuttharaksa",1974-02-25
2096,THA,"PHAENGKATHOK Bussayamas",1976-12-15
2096,THA,"PITUKPAOTHAI Tippaporn",1993-06-13
2097,IRI,"BARZEGER TAMRIN Homeira",1991-05-01
2097,IRI,"FARAG POUR Shadi",1991-02-21
2097,IRI,"MALAEI Nazanin",1992-01-28
2097,IRI,"SHADMEHR Mona",1992-02-15
2098,GBR,"CULLEN Stephanie",1980-11-27
2098,GBR,"DENNIS Andrea",1982-01-03
2098,GBR,"TWYMAN Kathryn",1987-03-29
2098,GBR,"WALSH Imogen",1984-01-17
2099,BLR,"VAUCHOK Liudmila",1981-06-19
21,FIN,"KARPPINEN Juho",1983-11-04
210,USA,"LANZONE Giuseppe",1982-10-12
210,USA,"RUMMEL Henrik",1987-09-26
210,USA,"STAFFORD Silas",1986-04-27
210,USA,"STITT Samuel",1981-09-28
2100,KOR,"LEE Jongrey",1962-11-12
2101,FRA,"BENOIT Nathalie",1980-06-12
2102,UKR,"LYSENKO Alla",1969-05-31
2103,ISR,"SAMUEL Moran",1982-04-24
2104,BRA,"SANTOS Claudia",1977-08-04
2105,CHN,"YE Qing",1975-11-25
2106,RUS,"GORDEEVA Elena",1973-06-27
2107,POL,"SNOPEK Martyna",1986-04-22
2108,POR,"FRANCO Filomena",1975-08-26
2109,USA,"DOWNING Tricia",1969-08-06
211,ITA,"CAPELLI Vincenzo",1988-10-26
211,ITA,"FOSSI Francesco",1988-04-15
211,ITA,"PALMISANO Andrea",1988-02-01
211,ITA,"PAONESSA Mario",1990-12-09
2110,HUN,"LENGYEL Monika",1985-05-25
2111,RUS,"GORDEEVA Elena",1973-06-27
2112,BRA,"SANTOS Claudia",1977-08-04
2113,KOR,"LEE Jongrey",1962-11-12
2114,POL,"SNOPEK Martyna",1986-04-22
2115,HUN,"LENGYEL Monika",1985-05-25
2116,UKR,"LYSENKO Alla",1969-05-31
2117,HUN,"LENGYEL Monika",1985-05-25
2118,ISR,"SAMUEL Moran",1982-04-24
2119,POL,"SNOPEK Martyna",1986-04-22
212,CHN,"LI Jie",1986-05-08
212,CHN,"LIU Kun",1989-05-26
212,CHN,"ZHENG Bing",1982-12-05
212,CHN,"ZHOU Yinan",1983-12-06
2120,POR,"FRANCO Filomena",1975-08-26
2121,CHN,"YE Qing",1975-11-25
2122,RUS,"GORDEEVA Elena",1973-06-27
2123,FRA,"BENOIT Nathalie",1980-06-12
2124,BRA,"SANTOS Claudia",1977-08-04
2125,KOR,"LEE Jongrey",1962-11-12
2126,BLR,"VAUCHOK Liudmila",1981-06-19
2127,USA,"DOWNING Tricia",1969-08-06
2128,RUS,"KOSTYUKHINA Irina",1981-10-20
2128,RUS,"MAXIMOV Boris",1987-04-21
2128,RUS,"MIKHAYLOV Gennady",1976-04-21
2128,RUS,"ORLOVA Olga",1981-03-31
2128,RUS,"ZHDANOVA Iulia",1994-09-02
2129,HKG,"CHAN Tsz Wai",1990-06-13
2129,HKG,"LAM King Shan",1992-12-14
2129,HKG,"LIU Wang Sin",1991-05-02
2129,HKG,"SZETO Tung Chun",1993-12-07
2129,HKG,"TSUI Kwok Man",1992-07-08
213,FRA,"CHARDIN Germain",1983-05-15
213,FRA,"DESPRES Julien",1983-05-12
213,FRA,"MACQUET Jean-Baptiste",1983-07-02
213,FRA,"MORTELETTE Dorian",1983-11-24
2130,ITA,"BORSANI Francesco",1980-10-16
2130,ITA,"INDELICATO Giorgia",1984-09-07
2130,ITA,"TIEGHI Elisabetta",1991-09-07
2130,ITA,"VARESANO Luca",1993-01-20
2130,ITA,"ZOPPI Federico",1995-09-08
2131,GER,"HAMANN Paula",1988-09-20
2131,GER,"KUNZE Maximilian",1984-09-22
2131,GER,"SCHAEFER Florian",1995-10-17
2131,GER,"VON DER GRUEN Clara",1984-02-13
2131,GER,"WALL Florian",1975-02-17
2132,USA,"ENGLERT Eleni",1994-02-17
2132,USA,"JOHNSON Andrew",1990-03-18
2132,USA,"MCDANIEL Eric",1983-05-18
2132,USA,"PREUSCHL Emma",1984-10-13
2132,USA,"STEIN Alexandra",1984-10-26
2133,CAN,"BLAIR David",1991-10-15
2133,CAN,"COMEAU Laura",1983-03-20
2133,CAN,"MONTGOMERY Meghan",1981-11-06
2133,CAN,"NOLAN Victoria",1975-01-03
2133,CAN,"THERIAULT Anthony",1960-10-18
2134,GER,"LOSSAU Martin",1980-08-20
2134,GER,"MOLKENTHIN Anke",1962-05-26
2134,GER,"QUIRIN Christiane",1962-11-02
2134,GER,"SCHULZ Michael",1963-07-12
2134,GER,"SPLITT Katrin",1977-08-11
2135,GBR,"RELPH Pamela",1989-11-14
2135,GBR,"RICHES Naomi",1983-06-15
2135,GBR,"ROE James",1988-03-28
2135,GBR,"SMITH David",1978-04-21
2135,GBR,"VAN DEN BROECKE Lily",1992-01-08
2136,IRL,"ARBUTHNOT Helen",1984-11-17
2136,IRL,"CAFFREY Sarah",1975-10-06
2136,IRL,"Du TOIT Kevin",1978-10-06
2136,IRL,"McDAID Anne-Marie",1964-11-30
2136,IRL,"RYAN Shane",1988-08-02
2137,FRA,"JESEL Antoine",1981-10-16
2137,FRA,"LAVAL Agnes",1974-11-12
2137,FRA,"LELIEVRE Melanie",1976-03-14
2137,FRA,"SIMON Corinne",1976-01-29
2137,FRA,"TARANTO Remy",1982-02-03
2138,RUS,"CHEPKEY Ekaterina",1985-12-20
2138,RUS,"JAKOVLEV Mikhael",1986-01-13
2138,RUS,"MAKHOV Viacheslav",1961-08-16
2138,RUS,"SHIRYAEV Evgeniy",1988-09-11
2138,RUS,"SNEGIREVA Ekaterina",1987-06-24
2139,ITA,"AGOLETTO Luca",1962-09-11
2139,ITA,"BOZZATO Andrea",1977-12-01
2139,ITA,"DI BATTISTA Mahila",1987-08-31
2139,ITA,"FRANZETTI Alessandro",1991-05-16
2139,ITA,"TROMBETTA Florinda",1981-04-06
214,GBR,"EGINGTON Richard",1979-02-26
214,GBR,"GREGORY Alex",1984-03-11
214,GBR,"LANGRIDGE Matthew",1983-05-20
214,GBR,"PARTRIDGE Alex",1981-01-25
2140,CHN,"FENG Xuebin",1989-01-13
2140,CHN,"WANG Qian",1993-05-21
2140,CHN,"WU Yunlong",1990-12-29
2140,CHN,"YU Li",1979-11-03
2140,CHN,"ZHAO Hui",1975-06-07
2141,UKR,"GORBONOS Pavlo",1972-09-18
2141,UKR,"KOZLOV Volodymyr",1966-06-04
2141,UKR,"MOROZOVA Kateryna",1981-01-19
2141,UKR,"PUKHAIEVA Olena",1961-02-04
2141,UKR,"SHARUBIN Volodymyr",1960-06-06
2142,BRA,"ABREU CARLOS Mauricio",1978-08-24
2142,BRA,"DUTRA Andre",1977-12-02
2142,BRA,"MOURA Norma",1969-05-02
2142,BRA,"PADILHA Nilton",1964-06-08
2142,BRA,"SILVA Regiane",1984-11-10
2143,POL,"BLAZEJCZYK Piotr",1985-06-03
2143,POL,"BORKOWSKA Barbara",1980-08-16
2143,POL,"HANTZSCHEL Joanna",1992-07-14
2143,POL,"KWIATKOWSKI Tomasz",1985-06-03
2143,POL,"TRZECIAK Katarzyna",1993-08-09
2144,BLR,"HERASIMCHYK Pavel",1979-09-29
2144,BLR,"PIATRYNICH Piotr",1957-12-20
2144,BLR,"SIVITSKAYA Aksana",1974-08-04
2144,BLR,"SIVITSKI Ruslan",1973-01-07
2144,BLR,"VARONA Larysa",1983-01-22
2145,EST,"KLEMENTSOV Mihkel",1997-07-06
2145,EST,"KUKK Rea",1975-11-05
2145,EST,"OIGE Alar",1964-02-06
2145,EST,"PIPPER Jelena",1978-06-28
2145,EST,"TOMP Ahti",1983-10-20
2146,RSA,"ANDREWS Clifford",1961-12-24
2146,RSA,"DE REUCK Samantha",1989-04-18
2146,RSA,"KILPATRICK Gavin",1982-02-15
2146,RSA,"MOKHINE Masego",1986-08-29
2146,RSA,"MSEKELE Sisanda",1988-05-23
2147,KOR,"HAN In Kyung",1982-07-14
2147,KOR,"JANG Youkyoung",1977-05-07
2147,KOR,"LEE Jeen He",1970-09-25
2147,KOR,"LEE Kil Young",1986-05-20
2147,KOR,"PARK Wan-Soon",1970-05-25
2148,POL,"BLAZEJCZYK Piotr",1985-06-03
2148,POL,"BORKOWSKA Barbara",1980-08-16
2148,POL,"HANTZSCHEL Joanna",1992-07-14
2148,POL,"KWIATKOWSKI Tomasz",1985-06-03
2148,POL,"TRZECIAK Katarzyna",1993-08-09
2149,UKR,"GORBONOS Pavlo",1972-09-18
2149,UKR,"KOZLOV Volodymyr",1966-06-04
2149,UKR,"MOROZOVA Kateryna",1981-01-19
2149,UKR,"PUKHAIEVA Olena",1961-02-04
2149,UKR,"SHARUBIN Volodymyr",1960-06-06
215,NED,"LUECKEN Robert",1985-04-30
215,NED,"STEENMAN Mitchel",1984-06-17
215,NED,"VERSLUIS Mechiel",1987-07-29
215,NED,"van ANDEL Olaf",1984-03-22
2150,GBR,"RELPH Pamela",1989-11-14
2150,GBR,"RICHES Naomi",1983-06-15
2150,GBR,"ROE James",1988-03-28
2150,GBR,"SMITH David",1978-04-21
2150,GBR,"VAN DEN BROECKE Lily",1992-01-08
2151,CAN,"BLAIR David",1991-10-15
2151,CAN,"COMEAU Laura",1983-03-20
2151,CAN,"MONTGOMERY Meghan",1981-11-06
2151,CAN,"NOLAN Victoria",1975-01-03
2151,CAN,"THERIAULT Anthony",1960-10-18
2152,FRA,"JESEL Antoine",1981-10-16
2152,FRA,"LAVAL Agnes",1974-11-12
2152,FRA,"LELIEVRE Melanie",1976-03-14
2152,FRA,"SIMON Corinne",1976-01-29
2152,FRA,"TARANTO Remy",1982-02-03
2153,BRA,"ABREU CARLOS Mauricio",1978-08-24
2153,BRA,"DUTRA Andre",1977-12-02
2153,BRA,"MOURA Norma",1969-05-02
2153,BRA,"PADILHA Nilton",1964-06-08
2153,BRA,"SILVA Regiane",1984-11-10
2154,RUS,"CHEPKEY Ekaterina",1985-12-20
2154,RUS,"JAKOVLEV Mikhael",1986-01-13
2154,RUS,"MAKHOV Viacheslav",1961-08-16
2154,RUS,"SHIRYAEV Evgeniy",1988-09-11
2154,RUS,"SNEGIREVA Ekaterina",1987-06-24
2155,USA,"ENGLERT Eleni",1994-02-17
2155,USA,"JOHNSON Andrew",1990-03-18
2155,USA,"MCDANIEL Eric",1983-05-18
2155,USA,"PREUSCHL Emma",1984-10-13
2155,USA,"STEIN Alexandra",1984-10-26
2156,CHN,"FENG Xuebin",1989-01-13
2156,CHN,"WANG Qian",1993-05-21
2156,CHN,"WU Yunlong",1990-12-29
2156,CHN,"YU Li",1979-11-03
2156,CHN,"ZHAO Hui",1975-06-07
2157,GER,"LOSSAU Martin",1980-08-20
2157,GER,"MOLKENTHIN Anke",1962-05-26
2157,GER,"QUIRIN Christiane",1962-11-02
2157,GER,"SCHULZ Michael",1963-07-12
2157,GER,"SPLITT Katrin",1977-08-11
2158,IRL,"ARBUTHNOT Helen",1984-11-17
2158,IRL,"CAFFREY Sarah",1975-10-06
2158,IRL,"Du TOIT Kevin",1978-10-06
2158,IRL,"McDAID Anne-Marie",1964-11-30
2158,IRL,"RYAN Shane",1988-08-02
2159,ITA,"AGOLETTO Luca",1962-09-11
2159,ITA,"BOZZATO Andrea",1977-12-01
2159,ITA,"DI BATTISTA Mahila",1987-08-31
2159,ITA,"FRANZETTI Alessandro",1991-05-16
2159,ITA,"TROMBETTA Florinda",1981-04-06
216,ESP,"GARCIA CORTES Marcelino",1980-08-25
216,ESP,"GONZALEZ ALVAREZ Jesus",1974-09-09
216,ESP,"GUZMAN DEL CASTILLO Noe",1983-06-13
216,ESP,"RODRIGUEZ ARAGON Pedro",1984-02-03
2160,BLR,"HERASIMCHYK Pavel",1979-09-29
2160,BLR,"PIATRYNICH Piotr",1957-12-20
2160,BLR,"SIVITSKAYA Aksana",1974-08-04
2160,BLR,"SIVITSKI Ruslan",1973-01-07
2160,BLR,"VARONA Larysa",1983-01-22
2161,EST,"KLEMENTSOV Mihkel",1997-07-06
2161,EST,"KUKK Rea",1975-11-05
2161,EST,"OIGE Alar",1964-02-06
2161,EST,"PIPPER Jelena",1978-06-28
2161,EST,"TOMP Ahti",1983-10-20
2162,USA,"ENGLERT Eleni",1994-02-17
2162,USA,"JOHNSON Andrew",1990-03-18
2162,USA,"MCDANIEL Eric",1983-05-18
2162,USA,"PREUSCHL Emma",1984-10-13
2162,USA,"STEIN Alexandra",1984-10-26
2163,BRA,"ABREU CARLOS Mauricio",1978-08-24
2163,BRA,"DUTRA Andre",1977-12-02
2163,BRA,"MOURA Norma",1969-05-02
2163,BRA,"PADILHA Nilton",1964-06-08
2163,BRA,"SILVA Regiane",1984-11-10
2164,RUS,"CHEPKEY Ekaterina",1985-12-20
2164,RUS,"JAKOVLEV Mikhael",1986-01-13
2164,RUS,"MAKHOV Viacheslav",1961-08-16
2164,RUS,"SHIRYAEV Evgeniy",1988-09-11
2164,RUS,"SNEGIREVA Ekaterina",1987-06-24
2165,RSA,"ANDREWS Clifford",1961-12-24
2165,RSA,"DE REUCK Samantha",1989-04-18
2165,RSA,"KILPATRICK Gavin",1982-02-15
2165,RSA,"MOKHINE Masego",1986-08-29
2165,RSA,"MSEKELE Sisanda",1988-05-23
2166,POL,"BLAZEJCZYK Piotr",1985-06-03
2166,POL,"BORKOWSKA Barbara",1980-08-16
2166,POL,"HANTZSCHEL Joanna",1992-07-14
2166,POL,"KWIATKOWSKI Tomasz",1985-06-03
2166,POL,"TRZECIAK Katarzyna",1993-08-09
2167,UKR,"GORBONOS Pavlo",1972-09-18
2167,UKR,"KOZLOV Volodymyr",1966-06-04
2167,UKR,"MOROZOVA Kateryna",1981-01-19
2167,UKR,"PUKHAIEVA Olena",1961-02-04
2167,UKR,"SHARUBIN Volodymyr",1960-06-06
2168,ITA,"AGOLETTO Luca",1962-09-11
2168,ITA,"BOZZATO Andrea",1977-12-01
2168,ITA,"DI BATTISTA Mahila",1987-08-31
2168,ITA,"FRANZETTI Alessandro",1991-05-16
2168,ITA,"TROMBETTA Florinda",1981-04-06
2169,KOR,"HAN In Kyung",1982-07-14
2169,KOR,"JANG Youkyoung",1977-05-07
2169,KOR,"LEE Jeen He",1970-09-25
2169,KOR,"LEE Kil Young",1986-05-20
2169,KOR,"PARK Wan-Soon",1970-05-25
217,ITA,"CAPELLI Vincenzo",1988-10-26
217,ITA,"FOSSI Francesco",1988-04-15
217,ITA,"PALMISANO Andrea",1988-02-01
217,ITA,"PAONESSA Mario",1990-12-09
2170,IRL,"ARBUTHNOT Helen",1984-11-17
2170,IRL,"CAFFREY Sarah",1975-10-06
2170,IRL,"Du TOIT Kevin",1978-10-06
2170,IRL,"McDAID Anne-Marie",1964-11-30
2170,IRL,"RYAN Shane",1988-08-02
2171,BRA,"ABREU CARLOS Mauricio",1978-08-24
2171,BRA,"DUTRA Andre",1977-12-02
2171,BRA,"MOURA Norma",1969-05-02
2171,BRA,"PADILHA Nilton",1964-06-08
2171,BRA,"SILVA Regiane",1984-11-10
2172,GBR,"RELPH Pamela",1989-11-14
2172,GBR,"RICHES Naomi",1983-06-15
2172,GBR,"ROE James",1988-03-28
2172,GBR,"SMITH David",1978-04-21
2172,GBR,"VAN DEN BROECKE Lily",1992-01-08
2173,BLR,"HERASIMCHYK Pavel",1979-09-29
2173,BLR,"PIATRYNICH Piotr",1957-12-20
2173,BLR,"SIVITSKAYA Aksana",1974-08-04
2173,BLR,"SIVITSKI Ruslan",1973-01-07
2173,BLR,"VARONA Larysa",1983-01-22
2174,POL,"BLAZEJCZYK Piotr",1985-06-03
2174,POL,"BORKOWSKA Barbara",1980-08-16
2174,POL,"HANTZSCHEL Joanna",1992-07-14
2174,POL,"KWIATKOWSKI Tomasz",1985-06-03
2174,POL,"TRZECIAK Katarzyna",1993-08-09
2175,RSA,"ANDREWS Clifford",1961-12-24
2175,RSA,"DE REUCK Samantha",1989-04-18
2175,RSA,"KILPATRICK Gavin",1982-02-15
2175,RSA,"MOKHINE Masego",1986-08-29
2175,RSA,"MSEKELE Sisanda",1988-05-23
2176,UKR,"GORBONOS Pavlo",1972-09-18
2176,UKR,"KOZLOV Volodymyr",1966-06-04
2176,UKR,"MOROZOVA Kateryna",1981-01-19
2176,UKR,"PUKHAIEVA Olena",1961-02-04
2176,UKR,"SHARUBIN Volodymyr",1960-06-06
2177,CHN,"FENG Xuebin",1989-01-13
2177,CHN,"WANG Qian",1993-05-21
2177,CHN,"WU Yunlong",1990-12-29
2177,CHN,"YU Li",1979-11-03
2177,CHN,"ZHAO Hui",1975-06-07
2178,EST,"KLEMENTSOV Mihkel",1997-07-06
2178,EST,"KUKK Rea",1975-11-05
2178,EST,"OIGE Alar",1964-02-06
2178,EST,"PIPPER Jelena",1978-06-28
2178,EST,"TOMP Ahti",1983-10-20
2179,KOR,"HAN In Kyung",1982-07-14
2179,KOR,"JANG Youkyoung",1977-05-07
2179,KOR,"LEE Jeen He",1970-09-25
2179,KOR,"LEE Kil Young",1986-05-20
2179,KOR,"PARK Wan-Soon",1970-05-25
218,CAN,"BERGEN Gabriel",1982-07-06
218,CAN,"BERKHOUT Fraser",1985-08-22
218,CAN,"CASACA Daniel",1984-06-30
218,CAN,"VANKNOTSENBURG Steven",1982-02-21
2180,CAN,"BLAIR David",1991-10-15
2180,CAN,"COMEAU Laura",1983-03-20
2180,CAN,"MONTGOMERY Meghan",1981-11-06
2180,CAN,"NOLAN Victoria",1975-01-03
2180,CAN,"THERIAULT Anthony",1960-10-18
2181,ITA,"AGOLETTO Luca",1962-09-11
2181,ITA,"BOZZATO Andrea",1977-12-01
2181,ITA,"DI BATTISTA Mahila",1987-08-31
2181,ITA,"FRANZETTI Alessandro",1991-05-16
2181,ITA,"TROMBETTA Florinda",1981-04-06
2182,GER,"LOSSAU Martin",1980-08-20
2182,GER,"MOLKENTHIN Anke",1962-05-26
2182,GER,"QUIRIN Christiane",1962-11-02
2182,GER,"SCHULZ Michael",1963-07-12
2182,GER,"SPLITT Katrin",1977-08-11
2183,USA,"ENGLERT Eleni",1994-02-17
2183,USA,"JOHNSON Andrew",1990-03-18
2183,USA,"MCDANIEL Eric",1983-05-18
2183,USA,"PREUSCHL Emma",1984-10-13
2183,USA,"STEIN Alexandra",1984-10-26
2184,RUS,"CHEPKEY Ekaterina",1985-12-20
2184,RUS,"JAKOVLEV Mikhael",1986-01-13
2184,RUS,"MAKHOV Viacheslav",1961-08-16
2184,RUS,"SHIRYAEV Evgeniy",1988-09-11
2184,RUS,"SNEGIREVA Ekaterina",1987-06-24
2185,FRA,"JESEL Antoine",1981-10-16
2185,FRA,"LAVAL Agnes",1974-11-12
2185,FRA,"LELIEVRE Melanie",1976-03-14
2185,FRA,"SIMON Corinne",1976-01-29
2185,FRA,"TARANTO Remy",1982-02-03
2186,ITA,"DE MARIA Silvia",1973-04-14
2186,ITA,"STEFANONI Daniele",1966-08-28
2187,AUS,"MACLEAN John",1966-05-27
2187,AUS,"ROSS Kathryn",1981-06-25
2188,UKR,"IVANOV Dmytro",1974-01-12
2188,UKR,"KYRYCHENKO Iryna",1961-07-05
2189,FRA,"BOUGE Perle",1977-12-01
2189,FRA,"TARDIEU Stephane",1970-03-16
219,AUS,"BOOTH Joshua",1990-10-09
219,AUS,"COUDRAYE Bryn",1986-07-11
219,AUS,"LINKE John",1988-06-06
219,AUS,"PRAGNELL Fergus",1985-09-17
2190,CHN,"FEI Tianming",1986-03-08
2190,CHN,"LOU Xiaoxian",1986-08-03
2191,GBR,"BEIGHTON Nicholas",1981-09-29
2191,GBR,"SCOWEN Samantha",1987-10-29
2192,JPN,"HAMADA Miho",1969-06-25
2192,JPN,"MATSUI Kayoko",1974-10-12
2193,ISR,"MAGNAGEY Reuven",1972-02-26
2193,ISR,"SOKOLOV Olga",1976-10-13
2194,BLR,"ALIAKSANDROVICH Alena",1991-02-03
2194,BLR,"BRATCHENIA Viktar",1985-04-13
2195,POL,"GADOWSKI Michal",1990-11-17
2195,POL,"PAWLAK Jolanta",1978-07-13
2196,USA,"DAVIS Anthony",1982-01-04
2196,USA,"KAPINOWSKI Jacqueline",1962-11-28
2197,SLO,"FABCIC Dejan",1977-09-16
2197,SLO,"TOMAZIN Mojca",1969-04-04
2198,SLO,"FABCIC Dejan",1977-09-16
2198,SLO,"TOMAZIN Mojca",1969-04-04
2199,USA,"DAVIS Anthony",1982-01-04
2199,USA,"KAPINOWSKI Jacqueline",1962-11-28
22,FRA,"PELTIER Pierre-Jean",1984-05-20
220,GRE,"GKOUNTOULAS Apostolos",1985-02-04
220,GRE,"GKOUNTOULAS Nikolaos",1985-02-04
220,GRE,"PAPACHRISTOS Stergios",1989-01-26
220,GRE,"TSILIS Ioannis",1986-07-15
2200,AUS,"MACLEAN John",1966-05-27
2200,AUS,"ROSS Kathryn",1981-06-25
2201,GBR,"BEIGHTON Nicholas",1981-09-29
2201,GBR,"SCOWEN Samantha",1987-10-29
2202,POL,"GADOWSKI Michal",1990-11-17
2202,POL,"PAWLAK Jolanta",1978-07-13
2203,JPN,"HAMADA Miho",1969-06-25
2203,JPN,"MATSUI Kayoko",1974-10-12
2204,BLR,"ALIAKSANDROVICH Alena",1991-02-03
2204,BLR,"BRATCHENIA Viktar",1985-04-13
2205,CHN,"FEI Tianming",1986-03-08
2205,CHN,"LOU Xiaoxian",1986-08-03
2206,ITA,"DE MARIA Silvia",1973-04-14
2206,ITA,"STEFANONI Daniele",1966-08-28
2207,ISR,"MAGNAGEY Reuven",1972-02-26
2207,ISR,"SOKOLOV Olga",1976-10-13
2208,UKR,"IVANOV Dmytro",1974-01-12
2208,UKR,"KYRYCHENKO Iryna",1961-07-05
2209,AUS,"MACLEAN John",1966-05-27
2209,AUS,"ROSS Kathryn",1981-06-25
221,CHN,"LI Jie",1986-05-08
221,CHN,"LIU Kun",1989-05-26
221,CHN,"ZHENG Bing",1982-12-05
221,CHN,"ZHOU Yinan",1983-12-06
2210,JPN,"HAMADA Miho",1969-06-25
2210,JPN,"MATSUI Kayoko",1974-10-12
2211,USA,"DAVIS Anthony",1982-01-04
2211,USA,"KAPINOWSKI Jacqueline",1962-11-28
2212,BLR,"ALIAKSANDROVICH Alena",1991-02-03
2212,BLR,"BRATCHENIA Viktar",1985-04-13
2213,SLO,"FABCIC Dejan",1977-09-16
2213,SLO,"TOMAZIN Mojca",1969-04-04
2214,FRA,"BOUGE Perle",1977-12-01
2214,FRA,"TARDIEU Stephane",1970-03-16
2215,GBR,"BEIGHTON Nicholas",1981-09-29
2215,GBR,"SCOWEN Samantha",1987-10-29
2216,CHN,"FEI Tianming",1986-03-08
2216,CHN,"LOU Xiaoxian",1986-08-03
2217,ISR,"MAGNAGEY Reuven",1972-02-26
2217,ISR,"SOKOLOV Olga",1976-10-13
2218,ITA,"DE MARIA Silvia",1973-04-14
2218,ITA,"STEFANONI Daniele",1966-08-28
2219,POL,"GADOWSKI Michal",1990-11-17
2219,POL,"PAWLAK Jolanta",1978-07-13
222,GER,"BERTRAM Rene",1981-07-21
222,GER,"EICHNER Florian",1985-12-16
222,GER,"KAEUFER Urs",1984-11-17
222,GER,"URBAN Jochen",1983-09-23
2220,ITA,"FANCHI Niccolo",1994-04-20
2220,ITA,"PERINO Paolo",1988-03-10
2220,ITA,"TRANQUILLI Andrea",1986-02-05
2221,BLR,"KAZUBOUSKI Aliaksandr",1981-12-20
2221,BLR,"PIATRYNICH Piotr",1957-12-20
2221,BLR,"SHCHARBACHENIA Stanislau",1985-03-05
2222,CAN,"LANGERFELD Kai",1987-07-05
2222,CAN,"LAWSON Dane",1989-09-23
2222,CAN,"MCCLELLAND Peter",1983-05-11
2223,FRA,"LANG Benjamin",1987-02-04
2223,FRA,"MANCEAU Benjamin",1987-06-02
2223,FRA,"MOLINA Michael",1986-03-01
2224,USA,"DIDIER Blaise",1988-03-29
2224,USA,"STANGEL Justin",1985-02-24
2224,USA,"YOUNG Jr. Stephen",1987-01-09
2225,GER,"DUEHRING Christoph",1993-11-27
2225,GER,"DZAMBASEVIC Milan",1988-01-10
2225,GER,"MAKOWSKI Daniel",1985-10-08
2226,UKR,"BAZYLYEV Serhiy",1982-06-30
2226,UKR,"PRYTULA Leonid",1984-01-21
2226,UKR,"VARNYAGA Oleksandr",1996-09-16
2227,ROU,"DUDUTA Ciprian",1991-04-30
2227,ROU,"STEFAN Florin",1968-10-12
2227,ROU,"STRUNGARU Ionel",1988-01-01
2228,POL,"ABLEWSKI Ryszard",1987-02-27
2228,POL,"KEDZIERSKI Miloslaw",1987-02-03
2228,POL,"TROJANOWSKI Daniel",1982-07-24
2229,UKR,"BAZYLYEV Serhiy",1982-06-30
2229,UKR,"PRYTULA Leonid",1984-01-21
2229,UKR,"VARNYAGA Oleksandr",1996-09-16
223,NZL,"BURSON Hamish",1987-04-13
223,NZL,"EADE David",1988-09-04
223,NZL,"URU Jade",1987-11-20
